code,profitForcastExpPubDate,profitForcastExpStatDate,profitForcastType,profitForcastAbstract,profitForcastChgPctUp,profitForcastChgPctDwn
sh.601360,2022-01-29,2021-12-31,预减,"预计2021年1-12月归属于上市公司股东的净利润盈利:82,300万元至99,100万元,同比上年下降:65.98%至71.75%,同比上年降低192,200万元至209,000万元。",-65.980000,-71.750000
sh.601360,2022-07-15,2022-06-30,首亏,"预计2022年1-6月归属于上市公司股东的净利润亏损:34,800万元至51,800万元。",-160.833737,-190.551367
sh.601360,2023-01-31,2022-12-31,首亏,"预计2022年1-12月归属于上市公司股东的净利润亏损约:248,000万元。",-374.871736,-374.871736
